Day,Number of Bicycle Hires,Month,Number of Bicycle Hires,Year,Number of Bicycle Hires,Month,Average Hire Time (mins)
29/10/2011,18228,,,,,,
30/10/2011,15443,,,,,,
31/10/2011,22999,,,,,,
01/11/2011,22747,,,,,,
02/11/2011,23724,,,,,,
03/11/2011,18676,,,,,,
04/11/2011,18774,,,,,,
05/11/2011,16434,,,,,,
06/11/2011,14317,,,,,,
07/11/2011,20365,,,,,,
08/11/2011,19231,,,,,,
09/11/2011,22542,,,,,,
10/11/2011,23475,,,,,,
11/11/2011,21140,,,,,,
12/11/2011,18933,,,,,,
13/11/2011,17744,,,,,,
14/11/2011,19913,,,,,,
15/11/2011,22245,,,,,,
16/11/2011,21639,,,,,,
17/11/2011,22802,,,,,,
18/11/2011,22461,,,,,,
19/11/2011,18706,,,,,,
20/11/2011,14829,,,,,,
21/11/2011,20824,,,,,,
22/11/2011,20341,,,,,,
23/11/2011,21855,,,,,,
24/11/2011,21870,,,,,,
25/11/2011,21598,,,,,,
26/11/2011,15803,,,,,,
27/11/2011,14362,,,,,,
28/11/2011,20167,,,,,,
29/11/2011,18718,,,,,,
30/11/2011,20956,,,,,,
01/12/2011,16481,,,,,,
02/12/2011,19146,,,,,,
03/12/2011,13776,,,,,,
04/12/2011,10276,,,,,,
05/12/2011,18176,,,,,,
06/12/2011,18943,,,,,,
07/12/2011,19279,,,,,,
08/12/2011,17313,,,,,,
09/12/2011,18421,,,,,,
10/12/2011,11864,,,,,,
11/12/2011,8368,,,,,,
12/12/2011,16554,,,,,,
13/12/2011,17111,,,,,,
14/12/2011,17543,,,,,,
15/12/2011,17081,,,,,,
16/12/2011,11778,,,,,,
17/12/2011,8925,,,,,,
18/12/2011,7485,,,,,,
19/12/2011,11270,,,,,,
20/12/2011,15685,,,,,,
21/12/2011,14158,,,,,,
22/12/2011,15099,,,,,,
23/12/2011,9131,,,,,,
24/12/2011,4890,,,,,,
25/12/2011,17998,,,,,,
26/12/2011,10953,,,,,,
27/12/2011,8076,,,,,,
28/12/2011,9888,,,,,,
29/12/2011,8368,,,,,,
30/12/2011,6900,,,,,,
31/12/2011,7793,,,,,,
01/01/2012,5171,,,,,,
02/01/2012,9091,,,,,,
03/01/2012,10094,,,,,,
04/01/2012,13936,,,,,,
05/01/2012,14191,,,,,,
06/01/2012,17713,,,,,,
07/01/2012,12556,,,,,,
08/01/2012,10487,,,,,,
09/01/2012,19472,,,,,,
10/01/2012,20548,,,,,,
11/01/2012,20958,,,,,,
12/01/2012,20879,,,,,,
13/01/2012,19691,,,,,,
14/01/2012,13843,,,,,,
15/01/2012,12149,,,,,,
16/01/2012,19136,,,,,,
17/01/2012,20170,,,,,,
18/01/2012,17972,,,,,,
19/01/2012,15441,,,,,,
20/01/2012,18703,,,,,,
21/01/2012,13339,,,,,,
22/01/2012,12845,,,,,,
23/01/2012,20193,,,,,,
24/01/2012,13269,,,,,,
25/01/2012,20836,,,,,,
26/01/2012,19515,,,,,,
27/01/2012,20775,,,,,,
28/01/2012,13272,,,,,,
29/01/2012,10949,,,,,,
30/01/2012,18955,,,,,,
31/01/2012,18176,,,,,,
01/02/2012,18208,,,,,,
02/02/2012,16916,,,,,,
03/02/2012,16185,,,,,,
04/02/2012,8348,,,,,,
05/02/2012,3531,,,,,,
06/02/2012,15202,,,,,,
07/02/2012,17722,,,,,,
08/02/2012,16442,,,,,,
09/02/2012,16363,,,,,,
10/02/2012,15117,,,,,,
11/02/2012,9912,,,,,,
12/02/2012,8020,,,,,,
13/02/2012,13172,,,,,,
14/02/2012,17946,,,,,,
15/02/2012,19396,,,,,,
16/02/2012,19505,,,,,,
17/02/2012,19444,,,,,,
18/02/2012,9463,,,,,,
19/02/2012,12655,,,,,,
20/02/2012,18802,,,,,,
21/02/2012,20861,,,,,,
22/02/2012,18112,,,,,,
23/02/2012,23391,,,,,,
24/02/2012,22067,,,,,,
25/02/2012,19349,,,,,,
26/02/2012,17646,,,,,,
27/02/2012,20936,,,,,,
28/02/2012,23423,,,,,,
29/02/2012,23692,,,,,,
01/03/2012,25116,,,,,,
02/03/2012,21928,,,,,,
03/03/2012,17697,,,,,,
